# IPv6 signatures file (dangerous and spammy ISPs).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/v3/vault/signatures/ipv6_isps.dat

# Version: 2024.125.0
# Last modified: 2024.05.05

# False positive risk (an approximate, rough estimate only):
# Standard usage (i.e., used with standard CIDRAM features, default bypasses, etc): « [ ]Low [x]Medium [ ]High »
#  Exported usage (i.e., used W/O standard CIDRAM features, default bypasses, etc): « [ ]Low [ ]Medium [x]High »


# ---
# ASNs 34665, 44050 ("Petersburg Internet Network ltd").
# Major domestic ISP from Russia, but also a significant, long-term source of
# spam, hack attempts, scraping, probing for vulnerabilities, and other kinds
# of unwanted traffic.
# Stop Forum Spam (SFS) listings: 822,131 (AS34665), 2 (AS44050).
# Updated: 2024.01.28

# Manually checked all ranges; All ranges affected.
# Updated: 2022.01.22 / Checked: 2023.12.13

2804:3024::/32 Deny Attacks
Origin: BR
Profile: Domestic ISP
Tag: STAYNET


# ASN 812 ("Rogers Communications Canada Inc").
# Canadian domestic ISP. Brute-force, XMLRPC/WordPress, SQLi, manifest, and
# webapp attacks, port scans, hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 631.
# Updated: 2023.08.06

2607:fea8:7b9d:7300::/64 Deny Spam
2607:fea8:e9a3:a200::/64 Deny Spam
Origin: CA
Profile: Domestic ISP
Tag: Rogers


# ASN 197019 ("WEDOS Internet, a.s").
# Czech domestic ISP. Brute-force, SSH, env, and webapp attacks, attempting to
# execute exploits, port scans, hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 41.
# Updated: 2022.04.25 / Checked: 2024.01.26

2a02:2b88:2:1::/64 Deny Attacks
Origin: CZ
Profile: Domestic ISP
Tag: WEDOS Internet, a.s


# ASNs 132761, 134331 ("Smartlink Solutions Pvt. Ltd").
# Indian commercial broadband reseller. Port scans, hacking, and spam detected
# from here. Manually checked all ranges; All ranges affected.
# Stop Forum Spam (SFS) listings: 7 (AS134331).
# Updated: 2023.05.28 / Checked: 2024.03.28

2402:dc40::/32 Deny Attacks
Origin: IN
Profile: Commercial;Domestic ISP;Infrastructure/Transit
Tag: Smartlink Solutions


# ASN 701 ("Verizon Business/UUnet").
# US domestic ISP. Honeypot attacks, port scans, malware, and spam detected
# from here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 1,966.
# Updated: 2023.11.05

2600:4041:5340:f000::/64 Deny Spam
2600:4041:54c1:d000::/64 Deny Spam
2600:4041:5c2c:dc00::/64 Deny Spam
2600:4041:5f5a:e700::/64 Deny Spam
Origin: US
Profile: Domestic ISP;Tor endpoints here
Tag: Verizon Business/UUnet


# ASN 4787 ("PT Cyberindo Aditama").
# Indonesian fibre provider. Brute-force, SMTP, and webapp attacks, port scans,
# credential stuffing, hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 930.
# Updated: 2023.09.11

2405:8180:203:96ff::/64 Deny Spam
2405:8180:301:a39e::/64 Deny Spam
2405:8180:a01:d86::/64 Deny Spam
Origin: ID
Profile: Domestic ISP;Multiplay
Tag: PT Cyberindo Aditama


# ASN 263744 ("Udasha S.A").
# Honduran domestic ISP. Significant source of spam and other strange traffic.
# Stop Forum Spam (SFS) listings: 1,762.
# Updated: 2023.01.12 / Checked: 2023.11.15

2803:5380::/32 Deny Attacks
Origin: HN
Profile: Domestic ISP
Tag: Udasha S.A


# ASN 265725 ("COOP. DE ELECT., OBRAS, CR??DITO, VIVIENDA Y SERVICIOS P??BLICOS
# DE LAS FLORES LTDA"). Argentinian domestic ISP. Brute-force, SSH, and webapp
# attacks, port scans, and hacking detected from here. Entire network affected.
# Updated: 2023.01.16 / Checked: 2023.11.16

2803:7dc0::/32 Deny Attacks
Origin: AR
Profile: Domestic ISP
Tag: AS265725


# ASN 18403 ("The Corporation for Financing & Promoting Technology").
# Vietnamese multiplay network. Spam, hacking, brute-force attacks, port scans,
# etc detected from here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 17,087.
# Updated: 2024.01.10

2405:4802:235:5c50::/64 Deny Spam
2405:4802:352:eac0::/64 Deny Spam
2405:4802:6c5:9150::/64 Deny Spam
2405:4802:1d90:98d0::/64 Deny Spam
2405:4802:80f5:4b20::/64 Deny Spam
2405:4802:8137:b650::/64 Deny Spam
Origin: VN
Profile: Domestic ISP;Infrastructure/Transit;Multiplay
Tag: CFPT


# ASNs 7643, 45899, 135905, 135967 ("VietNam Post and Telecom Corporation").
# A *major* Vietnamese domestic ISP, but also a significant source of spam,
# hack attempts, probing, etc. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 10,063 (AS7643), 21,440 (AS45899),
# 397 (AS135905), 7,078 (AS135967).
# Updated: 2023.06.17

2001:df7:c600:4::/64 Deny Spam
2001:ee0:4141:fe7d::/64 Deny Spam
2001:ee0:4253:ddd0::/64 Deny Spam
2001:ee0:4269:f4a0::/64 Deny Spam
2001:ee0:4959:5250::/64 Deny Spam
2001:ee0:497d:b150::/64 Deny Spam
2001:ee0:4f84:3e70::/64 Deny Spam
2001:ee0:4fcc:9550::/64 Deny Spam
2001:ee0:53cd:950::/64 Deny Spam
2001:ee0:566b:eba0::/64 Deny Spam
Origin: VN
Profile: Domestic ISP;Infrastructure/Transit;Tor endpoints here
Tag: VNPT Corp


# ASNs 4224, 60729 ("The Calyx Institute", "Zwiebelfreunde e.V").
# Offers primarily anonymous mobile internet, Tor proxy services, and internet
# rerouting services, among various related cloud services. Brute-force, SSH,
# WordPress/XMLRPC, SQLi, XSS, and webapp attacks, port scans, hacking, and
# spam detected from here, caught faking as Googlebot, and caught sniffing for
# vulnerabilities to exploit. Significant source of unwanted traffic.
# Stop Forum Spam (SFS) listings: 2,738 (AS4224), 16,571 (AS60729).
# Updated: 2023.06.19 / Checked: 2024.04.21

2a0a:4587:2010::/46 Deny Attacks
2a0b:f4c1:2::/48 Deny Attacks
2a0b:f4c2::/40 Deny Attacks
Origin: DE
2602:fef9:100::/48 Deny Attacks
Origin: US
Profile: Mobile ISP;Tor endpoints here;Webhosting
Tag: Calyx/Zwiebelfreunde


# ASN 7713 ("PT Telekomunikasi Indonesia").
# Indonesian domestic ISP. Brute-force, SSH, and webapp attacks, hacking, and
# spam detected from here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 3,499.
# Updated: 2023.07.08

2001:448a:5130:d601::/64 Deny Spam
2001:448a:6040:2524::/64 Deny Spam
2001:448a:6040:9de5::/64 Deny Spam
2001:448a:6040:a384::/64 Deny Spam
2001:448a:60e2:9baf::/64 Deny Spam
Origin: ID
Profile: Domestic ISP;Infrastructure/Transit;Mobile ISP;Multiplay
Tag: PT Telekomunikasi Indonesia


# ASN 263433 ("Click Fibra").
# Brazilian fibre provider. Brute-force, SSH attacks, port scans, hacking, and
# spam detected from here. This whole ASN appears to be affected.
# Stop Forum Spam (SFS) listings: 1.
# Updated: 2023.07.24

2804:11b4::/32 Deny Attacks
Origin: BR
Profile: Domestic ISP
Tag: Click Fibra


# ASNs 16135, 34984, 205570 ("TURKCELL ILETISIM HIZMETLERI A.S").
# Turkish multiplay network, ISP, TV, and mobile data provider.
# Brute-force, SSH attacks, port scans, hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 425 (AS16135), 1,604 (AS34984), 13 (AS205570).
# Updated: 2023.07.27

2a02:e0:5626:8100::/64 Deny Spam
2a02:e0:b807:6200::/64 Deny Spam
2a02:4e0:2d94:2bf6::/64 Deny Spam
Origin: TR
Profile: Domestic ISP;Mobile ISP;Multiplay
Tag: TURKCELL ILETISIM HIZMETLERI


# ASNs 17665, 133311 ("ONEOTT INTERTAINMENT LIMITED").
# Indian domestic ISP. Brute-force, SSH, and webapp attacks, port scans,
# hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 915 (AS17665), 5 (AS133311).
# Updated: 2023.08.09

2404:ba00:fd01:d9e::/64 Deny Spam
2404:ba00:fd01:f5d2::/64 Deny Spam
Origin: IN
Profile: Domestic ISP
Tag: ONEOTT
